Zona_Num_N;y_coord;x_coord
918;4.735582208;-74.25726128
919;4.727284698;-74.23485816
920;4.698631481;-74.17509333
921;4.684192548;-74.18270686
922;4.702005177;-74.18987756
923;4.749034936;-74.1414419
924;4.739175735;-74.16509765
925;4.755765572;-74.17729323
926;4.816646593;-74.10204281
927;4.777934208;-74.12523928
928;4.824306239;-74.09072291
929;4.632983784;-74.24878146
930;4.584853789;-74.26599533
931;4.590635339;-74.21276735
932;4.605711737;-74.21932479
933;4.59364985;-74.22331034
934;4.861268831;-74.05780519
935;4.860309812;-74.00775844
936;5.020978753;-73.97525352
937;4.908874068;-74.03483266
938;4.700512515;-74.2130266
939;4.502521991;-74.11355488
940;4.559687129;-74.15070503
941;4.581895571;-74.14581331
942;4.587386563;-74.14816098
943;4.589628594;-74.16886168
944;4.592780884;-74.16592466
945;4.592162873;-74.17952712
946;4.599716005;-74.17274592
947;4.614161015;-74.20745482
948;4.604106897;-74.15171524
949;4.642560164;-74.18097465
950;4.639589194;-74.15307229
951;4.621058008;-74.13508586
952;4.627108193;-74.08923973
953;4.641877302;-74.12658751
954;4.669673675;-74.13135229
955;4.655262749;-74.12650232
956;4.768270867;-74.03529472
957;4.77459156;-74.03562657
958;4.797356574;-74.0463087
959;4.796238235;-74.0366313
960;4.817579637;-74.04513218
961;4.501625552;-74.10700453
962;4.557810414;-74.13666358
963;4.577764068;-74.15736201
964;4.613949804;-74.16009271
965;4.623050747;-74.12555507
966;4.6124107;-74.07559647
967;4.555800443;-74.07936283
968;4.571122693;-74.08417062
969;4.572820148;-74.08127906
970;4.566209177;-74.10042213
971;4.564693204;-74.09661744
972;4.555523938;-74.09553052
973;4.556094441;-74.10844834
974;4.560835974;-74.10751729
975;4.572471217;-74.10502168
976;4.569232237;-74.11684497
977;4.571426843;-74.12229851
978;4.563063326;-74.12128979
